,Description
164,"May 2021. Cybersecurity researchers identified a North Korean hacking group to be responsible for a cyber espionage campaign, targeting high profile South Korean government officials, utilizing a phishing methodology. The group’s targets were based in South Korea and included: the Korea Internet and Security Agency (KISA), ROK Ministry of Foreign Affairs, Ambassador of the Embassy of Sri Lanka to the State (in ROK), International Atomic Energy Agency Nucle ar Security Officer, Deputy Consul General at Korean Consulate General in Hong Kong, Seoul   National University, and Daishin Securities. "
165,"May 2021 . On May 14, Ireland’s national health service, the Health Service Executive (HSE), was the victim of a ransom ware attack. Upon discovering the attack, government authorities shut down the HSE system. The attackers utilized the Conti ransomware -as-a-service (RaaS), which is reported to be operated by a Russia -based cybercrime group. "
166,"May 2021 . The FBI and the Aus tralian Cyber Security Centre warned of an ongoing Avaddon ransomware campaign targeting multiple sectors in various countries. The reported targeted countries are Australia, Belgium, Brazil, Canada, China, Costa Rica, Czech Republic, France, Germany, Indi a, Indonesia, Italy, Jordan, Peru, Poland, Portugal, Spain, UAE, UK, US. The targeted industries include: academia, airlines, construction, energy, equipment, financial, freight, government, health, it, law enforcement, manufacturing, marketing, retail, pharmaceutical. "
167,"May 2021 . On May 6, the Colonial Pipeline, the largest fuel pipeline in the United States, was the target of a ransomware attack. The energy company shut down the pipeline and later paid a $5 million ransom. The attack is attributed to Dark Side, a Russian speaking hacking group. "
168,"May 2021 . On May 4th and 5th, the Norwegian energy technology company Volue was the victim of a ransomware attack. The attack resulted in the shutdown of water and water treatment facilities in 200 municipalities, affecting approximately 85% of the Norwegian population. "
169,"May 2021 . A large DDoS attack disabled the ISP used by Belgium’s government, impacting more than 200 organizations causing the cancellation of multiple Parliamentary meetings "
170,May 2021 . A Chinese hacking group compromised a Russian defense contractor involved in designing nuclear submarines for the Russian navy. 
171,April 2021 . A hacking group compromised the social media accounts of Polish officials and used them to disseminate narratives critical of NATO. German authorities have reported that the same group has also attempted to compromise members of the Bundestag and state parliament. 
172,April 2021 . Hacke rs linked to the Chinese military conducted an espionage campaign targeting military and government organizations in Southeast Asia beginning in 2019 
173,April 2021 . Malware triggered an outage for airline reservation systems that caused the networks of 20 lo w-cost airlines around the world to crash . 
174,April 2021 . Russian hackers targeted Ukrainian government officials with spearphishing attempts as tensions between the two nations rose during early 2021 . 
175,"April 2021 . Hackers linked to Palestinian intelligence conducted a cyber espionage campaign compromising approximately 800 Palestinian reporters, activists, and dissidents both in Palestine and more broadly across the Middle East.   "
176,April 2021 . Two state -backed hackin g groups —one of which works on behalf of the Chinese government —exploited vulnerabilities in a VPN service to target organizations across the U.S. and Europe with a particular focus on U.S. defense contractors. 
177,"April 2021 . MI5 warned that over 10,000 UK professional shave been targeted by hostile states over the past five years as part of spearphishing and social engineering campaigns on LinkedIn. "
178,April 2021 . Swedish officials disclosed that t he Swedish Sports Confederati on was hacked by Russian military intelligence in late 2017 and early 2018 in response to accusations of Russian government -sponsored doping of Russian athletes .   
